"CALLS_OI","CALLS_Chng_in_OI","CALLS_Volume","CALLS_IV","CALLS_LTP","CALLS_Net_Chng","CALLS_BidQty","CALLS_BidPrice","CALLS_AskPrice","CALLS_AskQty","_Strike_Price","PUTS_BidQty","PUTS_BidPrice","PUTS_AskPrice","PUTS_AskQty","PUTS_Net_Chng","PUTS_LTP","PUTS_IV","PUTS_Volume","PUTS_Chng_in_OI","PUTS_OI","SYMBOL","EXPIRY","DATE","TIME"
"8,250","-975","200","-","1.25","0.60","75","0.65","1.95","975","14150.00","75","1,270.35","1,417.50","75","-322.75","1,188.50","-","1","-","-","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"51,750","24,300","1,692","58.23","1.50","0.75","900","1.00","1.85","75","14200.00","75","1,315.05","1,356.10","75","-","-","-","-","-","675","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"4,050","3,225","270","54.56","1.25","0.35","75","0.75","1.85","3,075","14250.00","1,500","1,358.95","1,465.75","75","-139.30","1,354.20","-","2","75","75","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"46,800","22,125","3,123","61.82","1.05","0.35","1,125","1.00","1.40","75","14300.00","75","1,422.85","1,452.05","75","-","-","-","-","-","150","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"2,400","2,400","1,719","-","1.15","-1.85","75","0.70","1.80","3,000","14350.00","1,500","1,458.85","1,593.40","4,875","-","-","-","-","-","-","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"76,800","37,500","1,807","69.29","1.30","0.90","3,000","1.10","1.25","600","14400.00","75","1,519.25","1,549.25","75","-","-","-","-","-","75","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"8,175","-300","2,086","68.54","1.20","0.70","4,950","0.60","1.40","4,500","14450.00","1,500","1,492.00","1,666.25","1,500","80.20","1,582.15","-","3","150","150","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"26,475","-","779","-","0.80","0.75","300","1.00","1.30","300","14500.00","75","1,591.85","1,707.00","75","195.10","1,637.10","-","10","-","75","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"-","-","840","-","1.25","1.20","600","0.50","1.25","1,950","14550.00","75","1,526.55","1,772.80","75","-","-","-","-","-","-","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"46,474,425","","6,868,031","","","","","","","","","","","","","","","","7,052,284","","47,554,800","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
